task,top_percent,screened_firm_years,true_events_captured,total_events,precision,recall,base_rate,lift_vs_base_rate
initiation,0.05,2849,513,1729,0.18006318006318006,0.2967032967032967,0.030467497224620697,5.91000891000891
initiation,0.1,5687,729,1729,0.1281870933708458,0.421631000578369,0.030467497224620697,4.207339133430959
initiation,0.2,11359,966,1729,0.08504269742054758,0.5587044534412956,0.030467497224620697,2.791259708454977
omission,0.05,2475,753,1779,0.30424242424242426,0.42327150084317033,0.03616368182464985,8.412927248880031
omission,0.1,4932,1068,1779,0.21654501216545013,0.6003372681281619,0.03616368182464985,5.987913874904434
omission,0.2,9850,1406,1779,0.14274111675126905,0.7903316469926925,0.03616368182464985,3.947084742183911
