task,year,screen,universe_firms,screened_firms,actual_events_in_year,events_captured,events_missed,precision,recall,base_rate,lift
initiation,2024,Top 5%,1495,75,29,6,23,0.08,0.20689655172413793,0.01939799331103679,4.124137931034483
initiation,2024,Top 10%,1495,150,29,13,16,0.08666666666666667,0.4482758620689655,0.01939799331103679,4.467816091954023
initiation,2024,Top 20%,1495,299,29,16,13,0.05351170568561873,0.5517241379310345,0.01939799331103679,2.7586206896551726
omission,2024,Top 5%,1768,89,42,19,23,0.21348314606741572,0.4523809523809524,0.023755656108597284,8.986623863028358
omission,2024,Top 10%,1768,177,42,24,18,0.13559322033898305,0.5714285714285714,0.023755656108597284,5.707828894269572
omission,2024,Top 20%,1768,354,42,36,6,0.1016949152542373,0.8571428571428571,0.023755656108597284,4.280871670702179
